REST_KEY,Rest Coop,Reporting Day,Daypart Name,Daypart Description,Daypart Sales $,Daypart Transaction Qty
1364,SEA/TCA WA CP-0024,1/14/10,After 4PM,4PM - Close,1958.37,302
1364,SEA/TCA WA CP-0024,1/14/10,Afternoon,2PM - 4PM,504.67,97
1364,SEA/TCA WA CP-0024,1/14/10,Breakfast,Open - 10:30AM (11AM weekend),851.63,214
1364,SEA/TCA WA CP-0024,1/14/10,Dinner,4PM - 9PM,1508.82,236
1364,SEA/TCA WA CP-0024,1/14/10,Evening,9PM - Close,449.55,66
1364,SEA/TCA WA CP-0024,1/14/10,Late Night,11PM - 5AM,55.18,9
1364,SEA/TCA WA CP-0024,1/14/10,Lunch,11AM -  2PM,1130.83,185
1364,SEA/TCA WA CP-0024,1/14/10,Morning,Open - 11AM,915.13,228
1364,SEA/TCA WA CP-0024,1/14/10,Regular Menu,10:30AM (11AM weekend) - Close,3657.37,598
1364,SEA/TCA WA CP-0024,1/14/10,Total Day,All hours,4509,812
1364,SEA/TCA WA CP-0024,1/15/10,After 4PM,4PM - Close,2008.56,331
1364,SEA/TCA WA CP-0024,1/15/10,Afternoon,2PM - 4PM,555.9,109
1364,SEA/TCA WA CP-0024,1/15/10,Breakfast,Open - 10:30AM (11AM weekend),1070.29,236
1364,SEA/TCA WA CP-0024,1/15/10,Dinner,4PM - 9PM,1531.14,245
1364,SEA/TCA WA CP-0024,1/15/10,Evening,9PM - Close,477.42,86
1364,SEA/TCA WA CP-0024,1/15/10,Late Night,11PM - 5AM,151.96,25
1364,SEA/TCA WA CP-0024,1/15/10,Lunch,11AM -  2PM,1218.12,209
1364,SEA/TCA WA CP-0024,1/15/10,Morning,Open - 11AM,1137.63,248
1364,SEA/TCA WA CP-0024,1/15/10,Regular Menu,10:30AM (11AM weekend) - Close,3849.92,661
1364,SEA/TCA WA CP-0024,1/15/10,Total Day,All hours,4920.21,897
1364,SEA/TCA WA CP-0024,1/16/10,After 4PM,4PM - Close,1502.05,225
1364,SEA/TCA WA CP-0024,1/16/10,Afternoon,2PM - 4PM,617.41,109
1364,SEA/TCA WA CP-0024,1/16/10,Breakfast,Open - 10:30AM (11AM weekend),1349.88,250
1364,SEA/TCA WA CP-0024,1/16/10,Dinner,4PM - 9PM,1034.92,155
1364,SEA/TCA WA CP-0024,1/16/10,Evening,9PM - Close,467.13,70
1364,SEA/TCA WA CP-0024,1/16/10,Late Night,11PM - 5AM,229.9,31
1364,SEA/TCA WA CP-0024,1/16/10,Lunch,11AM -  2PM,1182.75,162
1364,SEA/TCA WA CP-0024,1/16/10,Morning,Open - 11AM,1349.88,250
1364,SEA/TCA WA CP-0024,1/16/10,Regular Menu,10:30AM (11AM weekend) - Close,3302.21,496
1364,SEA/TCA WA CP-0024,1/16/10,Total Day,All hours,4652.09,746
1364,SEA/TCA WA CP-0024,1/17/10,After 4PM,4PM - Close,1437.56,205
1364,SEA/TCA WA CP-0024,1/17/10,Afternoon,2PM - 4PM,534.48,78
1364,SEA/TCA WA CP-0024,1/17/10,Breakfast,Open - 10:30AM (11AM weekend),1072.54,184
1364,SEA/TCA WA CP-0024,1/17/10,Dinner,4PM - 9PM,1150.54,163
1364,SEA/TCA WA CP-0024,1/17/10,Evening,9PM - Close,287.02,42
1364,SEA/TCA WA CP-0024,1/17/10,Late Night,11PM - 5AM,107.27,17
1364,SEA/TCA WA CP-0024,1/17/10,Lunch,11AM -  2PM,1051.1,162
1364,SEA/TCA WA CP-0024,1/17/10,Morning,Open - 11AM,1072.54,184
1364,SEA/TCA WA CP-0024,1/17/10,Regular Menu,10:30AM (11AM weekend) - Close,3023.14,445
1364,SEA/TCA WA CP-0024,1/17/10,Total Day,All hours,4095.68,629
1364,SEA/TCA WA CP-0024,1/18/10,After 4PM,4PM - Close,1131,201
1364,SEA/TCA WA CP-0024,1/18/10,Afternoon,2PM - 4PM,539.13,103
1364,SEA/TCA WA CP-0024,1/18/10,Breakfast,Open - 10:30AM (11AM weekend),722.66,163
1364,SEA/TCA WA CP-0024,1/18/10,Dinner,4PM - 9PM,874.83,155
1364,SEA/TCA WA CP-0024,1/18/10,Evening,9PM - Close,256.17,46
1364,SEA/TCA WA CP-0024,1/18/10,Late Night,11PM - 5AM,83.05,10
1364,SEA/TCA WA CP-0024,1/18/10,Lunch,11AM -  2PM,1178.07,189
1364,SEA/TCA WA CP-0024,1/18/10,Morning,Open - 11AM,802.77,179
1364,SEA/TCA WA CP-0024,1/18/10,Regular Menu,10:30AM (11AM weekend) - Close,2928.31,509
1364,SEA/TCA WA CP-0024,1/18/10,Total Day,All hours,3650.97,672
1364,SEA/TCA WA CP-0024,1/19/10,After 4PM,4PM - Close,1339.01,236
1364,SEA/TCA WA CP-0024,1/19/10,Afternoon,2PM - 4PM,458.45,98
1364,SEA/TCA WA CP-0024,1/19/10,Breakfast,Open - 10:30AM (11AM weekend),815.67,214
1364,SEA/TCA WA CP-0024,1/19/10,Dinner,4PM - 9PM,1013.51,175
1364,SEA/TCA WA CP-0024,1/19/10,Evening,9PM - Close,325.5,61
1364,SEA/TCA WA CP-0024,1/19/10,Late Night,11PM - 5AM,58.97,9
1364,SEA/TCA WA CP-0024,1/19/10,Lunch,11AM -  2PM,984.23,179
1364,SEA/TCA WA CP-0024,1/19/10,Morning,Open - 11AM,869.59,224
1364,SEA/TCA WA CP-0024,1/19/10,Regular Menu,10:30AM (11AM weekend) - Close,2835.61,523
1364,SEA/TCA WA CP-0024,1/19/10,Total Day,All hours,3651.28,737
1364,SEA/TCA WA CP-0024,1/20/10,After 4PM,4PM - Close,1832.33,291
1364,SEA/TCA WA CP-0024,1/20/10,Afternoon,2PM - 4PM,567.67,106
1364,SEA/TCA WA CP-0024,1/20/10,Breakfast,Open - 10:30AM (11AM weekend),933.15,228
1364,SEA/TCA WA CP-0024,1/20/10,Dinner,4PM - 9PM,1427.24,223
1364,SEA/TCA WA CP-0024,1/20/10,Evening,9PM - Close,405.09,68
1364,SEA/TCA WA CP-0024,1/20/10,Late Night,11PM - 5AM,95.68,14
1364,SEA/TCA WA CP-0024,1/20/10,Lunch,11AM -  2PM,1022.96,178
1364,SEA/TCA WA CP-0024,1/20/10,Morning,Open - 11AM,1004.29,244
1364,SEA/TCA WA CP-0024,1/20/10,Regular Menu,10:30AM (11AM weekend) - Close,3494.1,591
1364,SEA/TCA WA CP-0024,1/20/10,Total Day,All hours,4427.25,819
1364,SEA/TCA WA CP-0024,1/21/10,After 4PM,4PM - Close,1929.69,305
1364,SEA/TCA WA CP-0024,1/21/10,Afternoon,2PM - 4PM,492.63,93
1364,SEA/TCA WA CP-0024,1/21/10,Breakfast,Open - 10:30AM (11AM weekend),815.34,204
1364,SEA/TCA WA CP-0024,1/21/10,Dinner,4PM - 9PM,1606.55,244
1364,SEA/TCA WA CP-0024,1/21/10,Evening,9PM - Close,323.14,61
1364,SEA/TCA WA CP-0024,1/21/10,Late Night,11PM - 5AM,52.72,10
1364,SEA/TCA WA CP-0024,1/21/10,Lunch,11AM -  2PM,995.45,181
1364,SEA/TCA WA CP-0024,1/21/10,Morning,Open - 11AM,885.01,221
1364,SEA/TCA WA CP-0024,1/21/10,Regular Menu,10:30AM (11AM weekend) - Close,3487.44,596
1364,SEA/TCA WA CP-0024,1/21/10,Total Day,All hours,4302.78,800
1364,SEA/TCA WA CP-0024,1/22/10,After 4PM,4PM - Close,1802.75,357
1364,SEA/TCA WA CP-0024,1/22/10,Afternoon,2PM - 4PM,547.55,107
1364,SEA/TCA WA CP-0024,1/22/10,Breakfast,Open - 10:30AM (11AM weekend),777.36,148
1364,SEA/TCA WA CP-0024,1/22/10,Dinner,4PM - 9PM,1303.19,258
1364,SEA/TCA WA CP-0024,1/22/10,Evening,9PM - Close,499.56,99
1364,SEA/TCA WA CP-0024,1/22/10,Late Night,11PM - 5AM,178.13,34
1364,SEA/TCA WA CP-0024,1/22/10,Lunch,11AM -  2PM,1024.34,211
1364,SEA/TCA WA CP-0024,1/22/10,Morning,Open - 11AM,849.95,160
1364,SEA/TCA WA CP-0024,1/22/10,Regular Menu,10:30AM (11AM weekend) - Close,3447.23,687
1364,SEA/TCA WA CP-0024,1/22/10,Total Day,All hours,4224.59,835
1364,SEA/TCA WA CP-0024,1/23/10,After 4PM,4PM - Close,1787.52,370
1364,SEA/TCA WA CP-0024,1/23/10,Afternoon,2PM - 4PM,665.49,138
1364,SEA/TCA WA CP-0024,1/23/10,Breakfast,Open - 10:30AM (11AM weekend),1272.92,267
1364,SEA/TCA WA CP-0024,1/23/10,Dinner,4PM - 9PM,1227.88,254
1364,SEA/TCA WA CP-0024,1/23/10,Evening,9PM - Close,559.64,116
1364,SEA/TCA WA CP-0024,1/23/10,Late Night,11PM - 5AM,221.74,46
1364,SEA/TCA WA CP-0024,1/23/10,Lunch,11AM -  2PM,1271.77,264
1364,SEA/TCA WA CP-0024,1/23/10,Morning,Open - 11AM,1272.92,267
1364,SEA/TCA WA CP-0024,1/23/10,Regular Menu,10:30AM (11AM weekend) - Close,3724.78,772
1364,SEA/TCA WA CP-0024,1/23/10,Total Day,All hours,4997.7,1039
1364,SEA/TCA WA CP-0024,1/24/10,After 4PM,4PM - Close,1257.83,227
1364,SEA/TCA WA CP-0024,1/24/10,Afternoon,2PM - 4PM,625.03,83
1364,SEA/TCA WA CP-0024,1/24/10,Breakfast,Open - 10:30AM (11AM weekend),1049.83,184
1364,SEA/TCA WA CP-0024,1/24/10,Dinner,4PM - 9PM,932.38,166
1364,SEA/TCA WA CP-0024,1/24/10,Evening,9PM - Close,325.45,61
1364,SEA/TCA WA CP-0024,1/24/10,Late Night,11PM - 5AM,56.66,14
1364,SEA/TCA WA CP-0024,1/24/10,Lunch,11AM -  2PM,905.43,142
1364,SEA/TCA WA CP-0024,1/24/10,Morning,Open - 11AM,1049.83,184
1364,SEA/TCA WA CP-0024,1/24/10,Regular Menu,10:30AM (11AM weekend) - Close,2788.29,452
1364,SEA/TCA WA CP-0024,1/24/10,Total Day,All hours,3838.12,636
1364,SEA/TCA WA CP-0024,1/25/10,After 4PM,4PM - Close,1416.56,251
1364,SEA/TCA WA CP-0024,1/25/10,Afternoon,2PM - 4PM,477.89,94
1364,SEA/TCA WA CP-0024,1/25/10,Breakfast,Open - 10:30AM (11AM weekend),780.89,197
1364,SEA/TCA WA CP-0024,1/25/10,Dinner,4PM - 9PM,1172.72,200
1364,SEA/TCA WA CP-0024,1/25/10,Evening,9PM - Close,243.84,51
1364,SEA/TCA WA CP-0024,1/25/10,Late Night,11PM - 5AM,24.48,5
1364,SEA/TCA WA CP-0024,1/25/10,Lunch,11AM -  2PM,1000.35,172
1364,SEA/TCA WA CP-0024,1/25/10,Morning,Open - 11AM,832.49,214
1364,SEA/TCA WA CP-0024,1/25/10,Regular Menu,10:30AM (11AM weekend) - Close,2946.4,534
1364,SEA/TCA WA CP-0024,1/25/10,Total Day,All hours,3727.29,731
1364,SEA/TCA WA CP-0024,1/26/10,After 4PM,4PM - Close,1412.6,248
1364,SEA/TCA WA CP-0024,1/26/10,Afternoon,2PM - 4PM,504.43,100
1364,SEA/TCA WA CP-0024,1/26/10,Breakfast,Open - 10:30AM (11AM weekend),788.98,193
1364,SEA/TCA WA CP-0024,1/26/10,Dinner,4PM - 9PM,1127.31,196
1364,SEA/TCA WA CP-0024,1/26/10,Evening,9PM - Close,285.29,52
1364,SEA/TCA WA CP-0024,1/26/10,Late Night,11PM - 5AM,29.82,6
1364,SEA/TCA WA CP-0024,1/26/10,Lunch,11AM -  2PM,988.59,181
1364,SEA/TCA WA CP-0024,1/26/10,Morning,Open - 11AM,878.38,214
1364,SEA/TCA WA CP-0024,1/26/10,Regular Menu,10:30AM (11AM weekend) - Close,2995.02,550
1364,SEA/TCA WA CP-0024,1/26/10,Total Day,All hours,3784,743
1364,SEA/TCA WA CP-0024,1/27/10,After 4PM,4PM - Close,1743.39,271
1364,SEA/TCA WA CP-0024,1/27/10,Afternoon,2PM - 4PM,538.92,105
1364,SEA/TCA WA CP-0024,1/27/10,Breakfast,Open - 10:30AM (11AM weekend),1001.95,255
1364,SEA/TCA WA CP-0024,1/27/10,Dinner,4PM - 9PM,1368.79,203
1364,SEA/TCA WA CP-0024,1/27/10,Evening,9PM - Close,374.6,68
1364,SEA/TCA WA CP-0024,1/27/10,Late Night,11PM - 5AM,52.45,12
1364,SEA/TCA WA CP-0024,1/27/10,Lunch,11AM -  2PM,961.69,186
1364,SEA/TCA WA CP-0024,1/27/10,Morning,Open - 11AM,1068.28,269
1364,SEA/TCA WA CP-0024,1/27/10,Regular Menu,10:30AM (11AM weekend) - Close,3310.33,576
1364,SEA/TCA WA CP-0024,1/27/10,Total Day,All hours,4312.28,831
1364,SEA/TCA WA CP-0024,1/28/10,After 4PM,4PM - Close,2022.87,301
1364,SEA/TCA WA CP-0024,1/28/10,Afternoon,2PM - 4PM,502.99,106
1364,SEA/TCA WA CP-0024,1/28/10,Breakfast,Open - 10:30AM (11AM weekend),799.78,202
1364,SEA/TCA WA CP-0024,1/28/10,Dinner,4PM - 9PM,1648.31,242
1364,SEA/TCA WA CP-0024,1/28/10,Evening,9PM - Close,374.56,59
1364,SEA/TCA WA CP-0024,1/28/10,Late Night,11PM - 5AM,70.02,10
1364,SEA/TCA WA CP-0024,1/28/10,Lunch,11AM -  2PM,1123.05,188
1364,SEA/TCA WA CP-0024,1/28/10,Morning,Open - 11AM,907.79,223
1364,SEA/TCA WA CP-0024,1/28/10,Regular Menu,10:30AM (11AM weekend) - Close,3756.92,616
1364,SEA/TCA WA CP-0024,1/28/10,Total Day,All hours,4556.7,818
1364,SEA/TCA WA CP-0024,1/29/10,After 4PM,4PM - Close,1784.98,270
1364,SEA/TCA WA CP-0024,1/29/10,Afternoon,2PM - 4PM,638.25,122
1364,SEA/TCA WA CP-0024,1/29/10,Breakfast,Open - 10:30AM (11AM weekend),981.22,232
1364,SEA/TCA WA CP-0024,1/29/10,Dinner,4PM - 9PM,1314.63,197
1364,SEA/TCA WA CP-0024,1/29/10,Evening,9PM - Close,470.35,73
1364,SEA/TCA WA CP-0024,1/29/10,Late Night,11PM - 5AM,189.03,32
1364,SEA/TCA WA CP-0024,1/29/10,Lunch,11AM -  2PM,1396.43,225
1364,SEA/TCA WA CP-0024,1/29/10,Morning,Open - 11AM,1071.14,252
1364,SEA/TCA WA CP-0024,1/29/10,Regular Menu,10:30AM (11AM weekend) - Close,3909.58,637
1364,SEA/TCA WA CP-0024,1/29/10,Total Day,All hours,4890.8,869
1364,SEA/TCA WA CP-0024,1/30/10,After 4PM,4PM - Close,1755.68,280
1364,SEA/TCA WA CP-0024,1/30/10,Afternoon,2PM - 4PM,617.19,117
1364,SEA/TCA WA CP-0024,1/30/10,Breakfast,Open - 10:30AM (11AM weekend),1355.85,236
1364,SEA/TCA WA CP-0024,1/30/10,Dinner,4PM - 9PM,1177.9,180
1364,SEA/TCA WA CP-0024,1/30/10,Evening,9PM - Close,577.78,100
1364,SEA/TCA WA CP-0024,1/30/10,Late Night,11PM - 5AM,320.18,50
1364,SEA/TCA WA CP-0024,1/30/10,Lunch,11AM -  2PM,1258.38,183
1364,SEA/TCA WA CP-0024,1/30/10,Morning,Open - 11AM,1355.85,236
1364,SEA/TCA WA CP-0024,1/30/10,Regular Menu,10:30AM (11AM weekend) - Close,3631.25,580
1364,SEA/TCA WA CP-0024,1/30/10,Total Day,All hours,4987.1,816
1364,SEA/TCA WA CP-0024,1/31/10,After 4PM,4PM - Close,1337.69,222
1364,SEA/TCA WA CP-0024,1/31/10,Afternoon,2PM - 4PM,656.07,101
1364,SEA/TCA WA CP-0024,1/31/10,Breakfast,Open - 10:30AM (11AM weekend),1029.66,175
1364,SEA/TCA WA CP-0024,1/31/10,Dinner,4PM - 9PM,1143.41,185
1364,SEA/TCA WA CP-0024,1/31/10,Evening,9PM - Close,194.28,37
1364,SEA/TCA WA CP-0024,1/31/10,Late Night,11PM - 5AM,38.39,7
1364,SEA/TCA WA CP-0024,1/31/10,Lunch,11AM -  2PM,1003.22,153
1364,SEA/TCA WA CP-0024,1/31/10,Morning,Open - 11AM,1029.66,175
1364,SEA/TCA WA CP-0024,1/31/10,Regular Menu,10:30AM (11AM weekend) - Close,2996.98,476
1364,SEA/TCA WA CP-0024,1/31/10,Total Day,All hours,4026.64,651
1364,SEA/TCA WA CP-0024,2/1/10,After 4PM,4PM - Close,1535.98,244
1364,SEA/TCA WA CP-0024,2/1/10,Afternoon,2PM - 4PM,650.21,113
1364,SEA/TCA WA CP-0024,2/1/10,Breakfast,Open - 10:30AM (11AM weekend),795.55,197
1364,SEA/TCA WA CP-0024,2/1/10,Dinner,4PM - 9PM,1258.91,193
1364,SEA/TCA WA CP-0024,2/1/10,Evening,9PM - Close,277.07,51
1364,SEA/TCA WA CP-0024,2/1/10,Late Night,11PM - 5AM,21.02,4
1364,SEA/TCA WA CP-0024,2/1/10,Lunch,11AM -  2PM,1035.94,178
1364,SEA/TCA WA CP-0024,2/1/10,Morning,Open - 11AM,876.18,213
