,Date,weekday,cakes,pies,cookies,smoothies,coffee,promotion
118,2006-04-29,Saturday,1,45,47,38,72,promotion
119,2006-04-30,Sunday,11,9,112,18,65,promotion
120,2006-05-01,Monday,44,39,107,27,29,promotion
121,2006-05-02,Tuesday,24,23,15,51,70,none
122,2006-05-03,Wednesday,3,40,22,50,20,none
123,2006-05-04,Thursday,35,51,90,25,8,promotion
124,2006-05-05,Friday,36,54,85,68,61,promotion
125,2006-05-06,Saturday,31,16,56,25,60,none
126,2006-05-07,Sunday,4,5,97,30,39,none
127,2006-05-08,Monday,19,12,85,69,90,promotion
128,2006-05-09,Tuesday,47,27,105,74,6,promotion
129,2006-05-10,Wednesday,36,12,34,69,36,none
130,2006-05-11,Thursday,21,27,13,49,89,none
131,2006-05-12,Friday,18,13,98,38,11,none
132,2006-05-13,Saturday,28,29,72,67,61,promotion
133,2006-05-14,Sunday,15,1,10,56,74,none
134,2006-05-15,Monday,42,6,89,73,37,promotion
135,2006-05-16,Tuesday,2,58,15,46,59,none
136,2006-05-17,Wednesday,37,39,88,65,22,promotion
137,2006-05-18,Thursday,11,14,102,60,17,promotion
138,2006-05-19,Friday,23,23,6,70,46,none
139,2006-05-20,Saturday,44,25,47,13,81,promotion
140,2006-05-21,Sunday,41,27,106,60,7,promotion
141,2006-05-22,Monday,12,6,111,19,54,promotion
142,2006-05-23,Tuesday,3,19,5,28,42,none
143,2006-05-24,Wednesday,17,45,13,3,26,none
144,2006-05-25,Thursday,33,47,89,15,35,promotion
145,2006-05-26,Friday,1,29,82,7,68,none
146,2006-05-27,Saturday,39,4,79,61,23,promotion
147,2006-05-28,Sunday,20,24,56,5,94,none
148,2006-05-29,Monday,47,10,79,67,53,promotion
149,2006-05-30,Tuesday,43,52,82,67,25,promotion
150,2006-05-31,Wednesday,41,6,95,46,50,promotion
151,2006-06-01,Thursday,14,27,10,74,34,none
152,2006-06-02,Friday,31,34,38,25,89,promotion
153,2006-06-03,Saturday,25,2,2,19,39,none
154,2006-06-04,Sunday,3,33,52,15,76,none
155,2006-06-05,Monday,4,21,65,43,63,none
156,2006-06-06,Tuesday,31,58,112,33,36,promotion
157,2006-06-07,Wednesday,35,48,115,15,89,promotion
158,2006-06-08,Thursday,44,28,27,19,58,none
159,2006-06-09,Friday,14,43,12,31,8,none
160,2006-06-10,Saturday,49,13,40,56,12,none
161,2006-06-11,Sunday,41,32,42,46,1,none
162,2006-06-12,Monday,9,46,85,44,37,promotion
163,2006-06-13,Tuesday,20,28,26,23,6,none
164,2006-06-14,Wednesday,32,59,110,34,10,promotion
165,2006-06-15,Thursday,9,4,34,57,70,none
166,2006-06-16,Friday,27,52,115,6,43,promotion
167,2006-06-17,Saturday,3,21,52,21,15,none
168,2006-06-18,Sunday,4,11,119,10,87,promotion
169,2006-06-19,Monday,45,52,22,39,39,none
170,2006-06-20,Tuesday,15,10,55,18,34,none
171,2006-06-21,Wednesday,33,6,80,7,36,none
172,2006-06-22,Thursday,5,14,98,69,9,none
173,2006-06-23,Friday,4,41,113,3,96,promotion
174,2006-06-24,Saturday,46,18,1,19,3,none
175,2006-06-25,Sunday,12,59,12,57,56,none
176,2006-06-26,Monday,23,46,93,43,37,promotion
177,2006-06-27,Tuesday,14,26,34,32,61,none
178,2006-06-28,Wednesday,46,4,11,30,21,none
179,2006-06-29,Thursday,12,1,14,53,20,none
180,2006-06-30,Friday,17,55,86,51,31,promotion
181,2006-07-01,Saturday,25,15,11,60,74,none
182,2006-07-02,Sunday,30,53,104,51,21,promotion
183,2006-07-03,Monday,22,15,40,61,34,none
184,2006-07-04,Tuesday,47,24,33,36,99,promotion
185,2006-07-05,Wednesday,26,7,101,18,91,promotion
186,2006-07-06,Thursday,17,16,69,28,83,promotion
187,2006-07-07,Friday,20,6,36,34,51,none
188,2006-07-08,Saturday,34,55,73,14,36,promotion
189,2006-07-09,Sunday,41,1,88,6,63,none
190,2006-07-10,Monday,33,40,88,42,75,promotion
191,2006-07-11,Tuesday,37,8,78,54,76,promotion
192,2006-07-12,Wednesday,7,18,101,3,70,none
193,2006-07-13,Thursday,22,33,83,74,59,promotion
194,2006-07-14,Friday,32,59,64,64,93,promotion
195,2006-07-15,Saturday,14,30,47,4,76,none
196,2006-07-16,Sunday,8,32,99,62,55,promotion
197,2006-07-17,Monday,25,16,83,65,81,promotion
198,2006-07-18,Tuesday,16,12,21,45,36,none
199,2006-07-19,Wednesday,42,44,27,31,85,promotion
200,2006-07-20,Thursday,19,32,29,50,99,promotion
201,2006-07-21,Friday,41,19,13,56,77,promotion
202,2006-07-22,Saturday,16,44,18,36,4,none
203,2006-07-23,Sunday,12,39,3,65,62,none
204,2006-07-24,Monday,39,23,117,1,39,promotion
205,2006-07-25,Tuesday,48,8,37,65,72,promotion
206,2006-07-26,Wednesday,30,53,75,61,12,promotion
207,2006-07-27,Thursday,2,36,35,73,86,promotion
208,2006-07-28,Friday,32,20,40,9,86,none
209,2006-07-29,Saturday,45,6,11,2,79,none
210,2006-07-30,Sunday,25,50,52,66,12,promotion
211,2006-07-31,Monday,25,1,3,3,2,none
212,2006-08-01,Tuesday,4,44,66,16,13,none
213,2006-08-02,Wednesday,19,2,24,22,43,none
214,2006-08-03,Thursday,48,51,1,47,24,none
215,2006-08-04,Friday,4,54,75,3,70,promotion
216,2006-08-05,Saturday,43,59,69,27,49,promotion
217,2006-08-06,Sunday,13,15,21,72,38,none
218,2006-08-07,Monday,39,53,58,14,13,none
219,2006-08-08,Tuesday,36,58,6,5,52,none
220,2006-08-09,Wednesday,23,19,108,43,83,promotion
221,2006-08-10,Thursday,6,42,101,71,25,promotion
222,2006-08-11,Friday,24,7,111,43,21,promotion
223,2006-08-12,Saturday,44,37,4,63,17,none
224,2006-08-13,Sunday,33,44,110,45,16,promotion
225,2006-08-14,Monday,12,50,14,56,15,none
226,2006-08-15,Tuesday,41,33,95,24,37,promotion
227,2006-08-16,Wednesday,21,12,44,42,88,promotion
228,2006-08-17,Thursday,11,24,3,15,36,none
229,2006-08-18,Friday,44,25,34,26,21,none
230,2006-08-19,Saturday,38,51,28,15,55,none
231,2006-08-20,Sunday,29,9,6,32,11,none
232,2006-08-21,Monday,48,54,52,9,72,promotion
233,2006-08-22,Tuesday,41,20,78,23,62,promotion
234,2006-08-23,Wednesday,3,3,38,4,40,none
235,2006-08-24,Thursday,28,51,24,4,22,none
236,2006-08-25,Friday,20,29,16,46,66,none
237,2006-08-26,Saturday,26,39,75,40,11,none
238,2006-08-27,Sunday,24,57,93,2,94,promotion
239,2006-08-28,Monday,47,47,36,69,28,promotion
240,2006-08-29,Tuesday,21,44,25,43,53,none
241,2006-08-30,Wednesday,30,34,95,17,33,promotion
242,2006-08-31,Thursday,4,53,62,17,8,none
243,2006-09-01,Friday,36,14,54,34,39,none
244,2006-09-02,Saturday,40,46,109,1,47,promotion
245,2006-09-03,Sunday,10,34,88,68,55,promotion
246,2006-09-04,Monday,10,11,9,1,23,none
247,2006-09-05,Tuesday,42,52,30,6,21,none
248,2006-09-06,Wednesday,24,24,95,74,69,promotion
249,2006-09-07,Thursday,4,14,100,62,87,promotion
250,2006-09-08,Friday,47,52,75,67,33,promotion
251,2006-09-09,Saturday,27,47,111,50,65,promotion
252,2006-09-10,Sunday,45,31,26,11,84,none
253,2006-09-11,Monday,4,1,6,28,17,none
254,2006-09-12,Tuesday,32,44,110,59,44,promotion
255,2006-09-13,Wednesday,10,8,6,43,74,none
256,2006-09-14,Thursday,11,4,101,45,68,promotion
257,2006-09-15,Friday,28,47,31,39,81,promotion
258,2006-09-16,Saturday,46,1,4,13,80,none
259,2006-09-17,Sunday,8,32,12,11,82,none
260,2006-09-18,Monday,40,9,58,33,77,promotion
261,2006-09-19,Tuesday,22,4,28,16,35,none
262,2006-09-20,Wednesday,34,12,105,49,44,promotion
263,2006-09-21,Thursday,45,24,1,48,57,none
264,2006-09-22,Friday,35,21,92,31,25,promotion
265,2006-09-23,Saturday,35,2,12,23,65,none
266,2006-09-24,Sunday,25,7,37,52,49,none
267,2006-09-25,Monday,34,47,67,50,33,promotion
268,2006-09-26,Tuesday,6,5,22,41,9,none
269,2006-09-27,Wednesday,41,43,74,13,16,none
270,2006-09-28,Thursday,37,36,95,53,35,promotion
271,2006-09-29,Friday,1,48,59,13,25,none
272,2006-09-30,Saturday,12,23,28,29,85,none
273,2006-10-01,Sunday,35,31,19,52,45,none
274,2006-10-02,Monday,6,39,118,44,88,promotion
275,2006-10-03,Tuesday,17,12,111,44,48,promotion
276,2006-10-04,Wednesday,9,53,50,43,83,promotion
277,2006-10-05,Thursday,2,35,58,71,6,none
278,2006-10-06,Friday,18,56,89,55,54,promotion
279,2006-10-07,Saturday,49,4,41,25,67,none
280,2006-10-08,Sunday,36,50,52,5,53,none
281,2006-10-09,Monday,28,43,23,61,22,none
282,2006-10-10,Tuesday,41,1,115,15,92,promotion
283,2006-10-11,Wednesday,37,7,30,55,76,promotion
284,2006-10-12,Thursday,49,34,54,51,77,promotion
285,2006-10-13,Friday,26,30,41,16,63,none
286,2006-10-14,Saturday,4,22,46,49,47,none
287,2006-10-15,Sunday,40,15,51,13,14,none
288,2006-10-16,Monday,36,53,54,25,27,none
289,2006-10-17,Tuesday,31,23,81,71,44,promotion
290,2006-10-18,Wednesday,30,28,104,8,98,promotion
291,2006-10-19,Thursday,34,4,12,10,42,none
292,2006-10-20,Friday,19,50,33,53,13,none
293,2006-10-21,Saturday,18,31,105,18,39,promotion
294,2006-10-22,Sunday,30,40,58,38,19,none
295,2006-10-23,Monday,21,47,28,56,42,none
296,2006-10-24,Tuesday,3,24,13,73,28,none
297,2006-10-25,Wednesday,6,25,79,22,6,none
298,2006-10-26,Thursday,38,44,51,18,61,promotion
299,2006-10-27,Friday,13,14,61,69,11,none
300,2006-10-28,Saturday,45,33,78,30,96,promotion
301,2006-10-29,Sunday,3,33,63,38,66,promotion
302,2006-10-30,Monday,48,51,53,26,27,promotion
303,2006-10-31,Tuesday,28,55,66,73,22,promotion
304,2006-11-01,Wednesday,22,50,61,12,24,none
305,2006-11-02,Thursday,40,26,32,17,54,none
306,2006-11-03,Friday,40,10,113,73,86,promotion
307,2006-11-04,Saturday,12,38,50,21,80,promotion
308,2006-11-05,Sunday,23,45,74,34,49,promotion
309,2006-11-06,Monday,31,18,106,26,37,promotion
310,2006-11-07,Tuesday,18,24,15,10,2,none
311,2006-11-08,Wednesday,7,36,80,26,56,promotion
312,2006-11-09,Thursday,8,58,12,69,87,promotion
313,2006-11-10,Friday,19,36,69,1,72,none
314,2006-11-11,Saturday,29,35,34,41,62,promotion
315,2006-11-12,Sunday,44,21,110,6,47,promotion
316,2006-11-13,Monday,20,6,57,25,74,none
317,2006-11-14,Tuesday,42,21,42,14,73,none
318,2006-11-15,Wednesday,30,7,28,67,13,none
319,2006-11-16,Thursday,47,9,51,3,61,none
320,2006-11-17,Friday,22,1,96,10,92,promotion
321,2006-11-18,Saturday,10,45,18,66,4,none
322,2006-11-19,Sunday,26,26,16,40,22,none
323,2006-11-20,Monday,33,39,39,66,78,promotion
324,2006-11-21,Tuesday,28,8,3,27,54,none
325,2006-11-22,Wednesday,10,10,86,42,39,none
326,2006-11-23,Thursday,29,59,36,8,59,none
327,2006-11-24,Friday,44,7,18,4,53,none
328,2006-11-25,Saturday,18,30,40,41,66,none
329,2006-11-26,Sunday,42,6,95,37,53,promotion
330,2006-11-27,Monday,1,37,64,46,81,promotion
331,2006-11-28,Tuesday,23,30,50,33,75,promotion
332,2006-11-29,Wednesday,17,40,10,46,14,none
333,2006-11-30,Thursday,43,20,26,47,9,none
334,2006-12-01,Friday,37,48,30,38,70,promotion
335,2006-12-02,Saturday,31,23,113,31,55,promotion
336,2006-12-03,Sunday,25,4,67,12,84,none
337,2006-12-04,Monday,4,8,113,42,51,promotion
338,2006-12-05,Tuesday,9,57,1,25,35,none
339,2006-12-06,Wednesday,28,30,50,43,96,promotion
340,2006-12-07,Thursday,30,21,90,41,39,promotion
341,2006-12-08,Friday,47,9,112,12,83,promotion
342,2006-12-09,Saturday,24,19,6,34,71,none
343,2006-12-10,Sunday,33,23,85,41,15,none
344,2006-12-11,Monday,20,23,14,46,32,none
345,2006-12-12,Tuesday,9,22,38,52,45,none
346,2006-12-13,Wednesday,8,47,85,21,33,none
347,2006-12-14,Thursday,24,40,108,21,32,promotion
348,2006-12-15,Friday,14,57,31,18,82,promotion
349,2006-12-16,Saturday,18,35,61,8,65,none
350,2006-12-17,Sunday,1,35,58,70,21,none
351,2006-12-18,Monday,12,17,3,73,11,none
352,2006-12-19,Tuesday,29,14,38,48,83,promotion
353,2006-12-20,Wednesday,37,29,53,36,36,none
354,2006-12-21,Thursday,26,57,23,51,96,promotion
355,2006-12-22,Friday,33,14,94,62,55,promotion
356,2006-12-23,Saturday,43,34,85,44,30,promotion
357,2006-12-24,Sunday,15,59,66,37,97,promotion
358,2006-12-25,Monday,23,27,42,31,45,none
359,2006-12-26,Tuesday,29,14,87,1,15,none
360,2006-12-27,Wednesday,21,58,55,27,81,promotion
361,2006-12-28,Thursday,19,11,72,6,33,none
362,2006-12-29,Friday,5,59,39,45,93,promotion
363,2006-12-30,Saturday,23,24,17,36,55,none
364,2006-12-31,Sunday,36,22,53,71,79,promotion
365,2007-01-01,Monday,20,28,93,25,40,promotion
366,2007-01-02,Tuesday,8,46,52,21,52,none
367,2007-01-03,Wednesday,9,56,110,21,58,promotion
368,2007-01-04,Thursday,14,22,88,45,25,none
369,2007-01-05,Friday,6,32,29,21,17,none
370,2007-01-06,Saturday,1,39,47,57,22,none
371,2007-01-07,Sunday,9,19,10,65,12,none
372,2007-01-08,Monday,16,28,42,48,38,none
373,2007-01-09,Tuesday,16,27,28,51,35,none
374,2007-01-10,Wednesday,12,24,16,28,34,none
375,2007-01-11,Thursday,5,8,27,42,23,none
376,2007-01-12,Friday,40,14,80,51,17,promotion
377,2007-01-13,Saturday,29,21,115,8,37,promotion
378,2007-01-14,Sunday,46,31,111,73,65,promotion
379,2007-01-15,Monday,27,36,15,33,27,none
380,2007-01-16,Tuesday,11,11,103,34,78,promotion
381,2007-01-17,Wednesday,47,36,17,58,90,promotion
382,2007-01-18,Thursday,28,6,30,26,79,none
383,2007-01-19,Friday,36,38,62,25,32,none
384,2007-01-20,Saturday,42,23,83,59,33,promotion
385,2007-01-21,Sunday,19,34,7,32,26,none
386,2007-01-22,Monday,35,19,56,65,8,none
387,2007-01-23,Tuesday,31,1,66,63,64,promotion
388,2007-01-24,Wednesday,44,32,82,68,77,promotion
389,2007-01-25,Thursday,19,45,1,38,17,none
390,2007-01-26,Friday,46,31,31,42,41,none
391,2007-01-27,Saturday,24,46,50,49,6,none
392,2007-01-28,Sunday,2,3,117,10,42,none
393,2007-01-29,Monday,7,22,63,62,46,none
394,2007-01-30,Tuesday,43,19,2,54,86,promotion
395,2007-01-31,Wednesday,49,17,76,46,27,promotion
396,2007-02-01,Thursday,31,36,32,25,74,none
397,2007-02-02,Friday,17,13,33,39,55,none
398,2007-02-03,Saturday,27,9,75,36,73,promotion
399,2007-02-04,Sunday,36,27,4,70,70,promotion
400,2007-02-05,Monday,43,36,62,39,93,promotion
401,2007-02-06,Tuesday,10,10,89,70,19,none
402,2007-02-07,Wednesday,45,32,13,26,29,none
403,2007-02-08,Thursday,14,45,27,16,37,none
404,2007-02-09,Friday,7,50,5,2,44,none
405,2007-02-10,Saturday,39,44,42,55,91,promotion
406,2007-02-11,Sunday,40,48,50,34,5,none
407,2007-02-12,Monday,9,1,79,72,69,promotion
408,2007-02-13,Tuesday,14,46,21,47,72,none
409,2007-02-14,Wednesday,8,55,60,57,57,promotion
410,2007-02-15,Thursday,17,21,43,12,67,none
411,2007-02-16,Friday,23,29,15,38,11,none
412,2007-02-17,Saturday,16,39,55,68,94,promotion
413,2007-02-18,Sunday,26,37,5,26,59,none
414,2007-02-19,Monday,9,31,60,5,9,none
415,2007-02-20,Tuesday,36,34,51,65,26,promotion
416,2007-02-21,Wednesday,7,36,88,25,39,none
417,2007-02-22,Thursday,18,42,117,7,17,promotion
418,2007-02-23,Friday,8,55,11,5,16,none
419,2007-02-24,Saturday,21,27,115,33,43,promotion
420,2007-02-25,Sunday,26,47,12,50,4,none
421,2007-02-26,Monday,3,19,86,60,55,promotion
422,2007-02-27,Tuesday,17,25,58,11,21,none
423,2007-02-28,Wednesday,46,25,67,68,31,promotion
424,2007-03-01,Thursday,24,15,63,15,91,promotion
425,2007-03-02,Friday,25,29,12,69,52,none
426,2007-03-03,Saturday,5,51,74,4,19,none
427,2007-03-04,Sunday,37,42,55,70,72,promotion
428,2007-03-05,Monday,45,20,54,57,29,promotion
429,2007-03-06,Tuesday,24,3,57,5,84,none
430,2007-03-07,Wednesday,31,43,31,29,31,none
431,2007-03-08,Thursday,26,50,108,2,66,promotion
432,2007-03-09,Friday,21,59,59,9,86,promotion
433,2007-03-10,Saturday,34,30,41,64,99,promotion
434,2007-03-11,Sunday,38,2,56,61,70,promotion
435,2007-03-12,Monday,24,22,109,10,69,promotion
436,2007-03-13,Tuesday,28,55,96,71,35,promotion
437,2007-03-14,Wednesday,30,18,89,20,55,promotion
438,2007-03-15,Thursday,34,56,9,21,91,promotion
439,2007-03-16,Friday,23,26,81,41,50,promotion
440,2007-03-17,Saturday,8,15,82,52,24,none
441,2007-03-18,Sunday,42,58,94,52,6,promotion
442,2007-03-19,Monday,10,23,94,22,31,none
443,2007-03-20,Tuesday,1,16,16,13,25,none
444,2007-03-21,Wednesday,20,51,58,29,34,none
445,2007-03-22,Thursday,37,19,8,47,29,none
446,2007-03-23,Friday,18,12,25,35,9,none
447,2007-03-24,Saturday,21,55,75,17,60,promotion
448,2007-03-25,Sunday,49,25,54,42,97,promotion
449,2007-03-26,Monday,4,6,51,40,90,none
450,2007-03-27,Tuesday,43,44,73,9,9,none
451,2007-03-28,Wednesday,2,7,41,58,10,none
452,2007-03-29,Thursday,21,42,75,14,27,none
453,2007-03-30,Friday,37,44,40,30,71,promotion
454,2007-03-31,Saturday,5,48,100,37,88,promotion
455,2007-04-01,Sunday,17,13,23,46,43,none
456,2007-04-02,Monday,49,13,45,26,32,none
457,2007-04-03,Tuesday,48,46,49,15,29,none
458,2007-04-04,Wednesday,11,38,54,7,80,none
459,2007-04-05,Thursday,46,19,1,41,69,none
460,2007-04-06,Friday,41,10,106,33,96,promotion
461,2007-04-07,Saturday,31,9,82,34,86,promotion
462,2007-04-08,Sunday,28,54,73,43,78,promotion
463,2007-04-09,Monday,44,41,116,26,25,promotion
464,2007-04-10,Tuesday,32,9,23,29,63,none
465,2007-04-11,Wednesday,21,1,76,36,61,none
466,2007-04-12,Thursday,7,33,94,36,97,promotion
467,2007-04-13,Friday,10,13,106,25,89,promotion
468,2007-04-14,Saturday,28,53,53,35,69,promotion
469,2007-04-15,Sunday,48,21,33,56,27,none
470,2007-04-16,Monday,36,58,47,31,54,promotion
471,2007-04-17,Tuesday,20,54,20,60,20,none
472,2007-04-18,Wednesday,13,51,116,1,67,promotion
473,2007-04-19,Thursday,19,16,118,17,86,promotion
474,2007-04-20,Friday,11,24,39,71,70,promotion
475,2007-04-21,Saturday,35,55,97,25,31,promotion
476,2007-04-22,Sunday,34,45,102,57,5,promotion
477,2007-04-23,Monday,44,18,48,32,27,none
478,2007-04-24,Tuesday,4,24,117,72,95,promotion
479,2007-04-25,Wednesday,13,10,48,25,16,none
480,2007-04-26,Thursday,37,46,74,3,12,none
481,2007-04-27,Friday,2,35,49,51,90,promotion
482,2007-04-28,Saturday,1,33,29,30,39,none
483,2007-04-29,Sunday,40,42,83,38,54,promotion
484,2007-04-30,Monday,25,7,107,65,74,promotion
485,2007-05-01,Tuesday,37,56,117,19,25,promotion
486,2007-05-02,Wednesday,36,28,22,73,90,promotion
487,2007-05-03,Thursday,6,36,31,7,55,none
488,2007-05-04,Friday,7,20,98,33,68,promotion
489,2007-05-05,Saturday,4,39,33,35,55,none
490,2007-05-06,Sunday,35,2,72,11,91,promotion
491,2007-05-07,Monday,41,34,103,65,35,promotion
492,2007-05-08,Tuesday,34,38,100,45,24,promotion
493,2007-05-09,Wednesday,29,34,25,59,96,promotion
494,2007-05-10,Thursday,5,34,66,31,67,promotion
495,2007-05-11,Friday,27,4,83,72,73,promotion
496,2007-05-12,Saturday,33,23,55,4,76,none
497,2007-05-13,Sunday,46,38,62,73,99,promotion
498,2007-05-14,Monday,10,59,1,12,74,none
499,2007-05-15,Tuesday,6,51,54,4,58,none
500,2007-05-16,Wednesday,34,34,85,25,59,promotion
501,2007-05-17,Thursday,8,4,65,64,78,promotion
502,2007-05-18,Friday,31,14,54,32,42,none
503,2007-05-19,Saturday,9,35,9,9,64,none
504,2007-05-20,Sunday,21,16,79,31,15,none
505,2007-05-21,Monday,8,44,39,39,8,none
506,2007-05-22,Tuesday,4,34,83,36,80,promotion
507,2007-05-23,Wednesday,22,31,3,57,36,none
508,2007-05-24,Thursday,28,42,4,30,55,none
509,2007-05-25,Friday,45,29,55,17,30,none
510,2007-05-26,Saturday,4,10,19,52,46,none
511,2007-05-27,Sunday,39,12,47,43,67,promotion
512,2007-05-28,Monday,21,26,115,32,57,promotion
513,2007-05-29,Tuesday,8,49,8,36,19,none
514,2007-05-30,Wednesday,20,58,7,67,97,promotion
515,2007-05-31,Thursday,32,10,1,67,76,none
